ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"108.162.198.123","elite","AS13335","US","Cloudflare, Inc.","15","Cloudflare, Inc.","80","http","3132","16597","2025-11-08T01:08:13.698Z","100","76","76"
"193.106.57.7","elite","AS42510","UA","Magic Line","37","PE \"Magic-line\"","33429","socks5","3997","1","2025-11-08T01:08:13.984Z","96","10511","10906"
"172.64.88.89","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","4923","16603","2025-11-08T01:08:13.691Z","100","72","72"
"168.181.87.9","elite","AS265331","BR","M. R. MELO ALEXANDRINO","188","M. R. MELO ALEXANDRINO","9090","socks4","3966","1","2025-11-08T01:08:13.981Z","99","1907","1932"
"45.80.110.96","elite","AS209242","EE","CloudKleyer","7","Welcomehost OU","80","http","5071","16601","2025-11-08T01:08:13.694Z","100","75","75"
"41.216.232.213","elite","AS37672","CM","INQ","158","N/A","4153","socks4","3779","1","2025-11-08T01:08:13.702Z","79","3293","4160"
"83.45.73.247","elite","AS3352","ES","Telefonica de Espana SAU","33","RIMA (Red IP Multi Acceso)","80","socks4","3170","1","2025-11-08T01:08:13.597Z","99","1682","1706"
"190.120.249.149","elite","AS264628","VE","CORPORACION FIBEX TELECOM, C.A.","143","N/A","4145","socks4","244","1","2025-11-08T01:08:13.763Z","81","8856","10896"
"154.72.73.214","elite","AS30844","TZ","RAHA-LTZ","187","N/A","1080","socks4","4693","1","2025-11-08T01:08:13.979Z","93","3829","4097"
"87.117.8.32","elite","AS21479","RU","Macroregional South","75","OJSC Rostelecom Macroregional Branch South","3629","socks4","5096","1","2025-11-08T01:08:13.598Z","71","2949","4130"
"118.97.235.36","elite","AS7713","ID","PT. TELKOM INDONESIA","184","N/A","4145","socks4","1110","1","2025-11-08T01:08:13.764Z","99","10780","10865"
"170.114.46.55","elite","AS209242","US","Cloudflare London, LLC","7","Zoom Video Communications, Inc","80","http","4982","16597","2025-11-08T01:08:13.697Z","100","75","75"
"177.12.178.249","elite","AS263033","BR","Linxbr Telecomunicacoes Ltda","202","Linkli Telecomunicacoes Ltda","4153","socks4","3295","1","2025-11-08T01:08:13.764Z","100","10882","10918"
"14.102.64.209","elite","AS18002","IN","WORLDPHONE","213","N/A","60616","socks4","2886","1","2025-11-08T01:08:13.699Z","99","10844","10916"
"43.163.222.156","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","249","Tencent Cloud Computing (Beijing) Co., Ltd","15673","socks5","4899","1","2025-11-08T01:08:13.700Z","100","4166","4174"
"27.50.18.113","elite","AS131111","ID","PT. Mora Telematika Indonesia","167","N/A","5678","socks4","3897","1","2025-11-08T01:08:13.765Z","100","2419","2424"
"119.13.125.238","elite","AS136907","HK","Huawei International Pte. LTD","250","N/A","1080","socks5","3590","1","2025-11-08T01:08:13.982Z","99","10741","10894"
"198.177.57.38","elite","AS209242","DE","Serveryou Inc","10","Prime Formation GmbH","80","http","3484","16716","2025-11-08T01:08:13.679Z","100","77","77"
"204.44.192.103","elite","AS23273","US","HostPapa","150","HostPapa","55070","socks4","4106","1","2025-11-08T01:08:13.765Z","99","4159","4192"
"2.197.124.172","elite","AS16232","IT","Telecom Italia Mobile","72","N/A","4153","socks4","3395","1","2025-11-08T01:08:13.667Z","80","8629","10770"
